Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,16898,5520,750,49615.398438,0.015116
2,1000,0.6,0.2,50.0,1000,20098,6068,595,49533.753906,0.012012
3,1000,0.6,0.2,50.0,1000,9233,3699,998,49196.683594,0.020286
4,1000,0.6,0.2,50.0,1000,27025,7728,324,49018.875000,0.006610
5,1000,0.6,0.2,50.0,1000,14418,4767,804,50351.507812,0.015968
6,1000,0.6,0.2,50.0,1000,11526,4186,931,50625.734375,0.018390
7,1000,0.6,0.2,50.0,1000,32263,8976,129,49311.066406,0.002616
8,1000,0.6,0.2,50.0,1000,31340,8595,175,50013.890625,0.003499
9,1000,0.6,0.2,50.0,1000,25239,7351,432,49806.503906,0.008674
10,1000,0.6,0.2,50.0,1000,13465,4581,872,52509.441406,0.016607
